scenario_id,policy,makespan,heft_makespan,ratio_to_heft,steps
val_004,mct,77.91167095802463,64.30679139241461,1.2115620958693143,9
val_005,mct,123.26200942224673,108.09022541189509,1.1403622201039654,12
val_006,mct,114.57505139631989,80.93177377957683,1.4156992494489595,11
val_007,mct,106.27883173262734,98.55507283875329,1.0783699780376699,10
val_008,mct,83.39248607068583,78.81879514349355,1.058027922386604,11
val_009,mct,74.22514493490644,61.93630222785779,1.198410984592512,8
val_000,met,111.6670757558853,79.58407300962179,1.403133460414682,11
val_001,met,145.19775692829268,100.66332242677494,1.4424097419783974,12
val_002,met,93.48935625976978,61.78868175946538,1.5130498595796338,9
val_003,met,140.7030571404241,91.55093011690428,1.536882879952786,11
val_004,met,148.4174037681761,64.30679139241461,2.307958468375439,9
val_005,met,203.07334765725102,108.09022541189509,1.8787392373677412,12
val_006,met,114.57505139631989,80.93177377957683,1.4156992494489595,11
val_007,met,143.25714695935167,98.55507283875329,1.4535745632671369,10
val_008,met,94.42321904492141,78.81879514349355,1.197978462789481,11
val_009,met,74.22514493490644,61.93630222785779,1.198410984592512,8
val_000,olb,159.39296961579433,79.58407300962179,2.0028249822866386,11
val_001,olb,148.66804146026374,100.66332242677494,1.476883912394295,12
val_002,olb,107.79254398885703,61.78868175946538,1.7445354216890108,9
val_003,olb,175.43134580145534,91.55093011690428,1.9162158765338757,11
val_004,olb,144.01726283102627,64.30679139241461,2.2395342655521455,9
val_005,olb,173.58698579039944,108.09022541189509,1.6059452659009497,12
val_006,olb,169.77319469784788,80.93177377957683,2.0977322844824418,11
val_007,olb,239.85202165496494,98.55507283875329,2.4336851949507325,10
val_008,olb,147.28260085895445,78.81879514349355,1.8686228404128626,11
val_009,olb,231.7641283730985,61.93630222785779,3.7419755464325304,8
val_000,random,456.57788183592345,79.58407300962179,5.737050952151227,11
val_001,random,237.56952391990754,100.66332242677494,2.360040560877788,12
val_002,random,286.09522920120304,61.78868175946538,4.630220633528506,9
val_003,random,394.26759111348565,91.55093011690428,4.306538345487401,11
val_004,random,297.1842268041237,64.30679139241461,4.621350566079999,9
val_005,random,427.2868350273057,108.09022541189509,3.9530571187085686,12
val_006,random,346.24884201599406,80.93177377957683,4.278280653517199,11
val_007,random,482.0182570611271,98.55507283875329,4.890851816930427,10
val_008,random,200.74729885214558,78.81879514349355,2.546947063662609,11
val_009,random,591.6015658928227,61.93630222785779,9.551774074538331,8
val_000,rl_bc_only,96.62676852574705,79.58407300962179,1.2141470632454912,11
val_001,rl_bc_only,116.94385122318275,100.66332242677494,1.1617324801518516,12
val_002,rl_bc_only,71.39812799678764,61.78868175946538,1.1555211401779126,9
val_003,rl_bc_only,81.67138766824633,91.55093011690428,0.8920869243377161,11
val_004,rl_bc_only,76.98391433117192,64.30679139241461,1.1971350562555458,9
val_005,rl_bc_only,123.08645335385188,108.09022541189509,1.1387380578106046,12
val_006,rl_bc_only,96.10680574683548,80.93177377957683,1.1875040081116828,11
val_007,rl_bc_only,114.67816401458725,98.55507283875329,1.1635947365409904,10
val_008,rl_bc_only,82.15737827105701,78.81879514349355,1.0423577031529778,11
val_009,rl_bc_only,74.61144499095757,61.93630222785779,1.2046480385036409,8
val_000,rl_greedy,85.71615517650292,79.58407300962179,1.077051625218274,11
val_001,rl_greedy,111.99836140151527,100.66332242677494,1.1126034657060493,12
val_002,rl_greedy,61.06005400028422,61.78868175946538,0.9882077471402027,9
val_003,rl_greedy,81.67138766824633,91.55093011690428,0.8920869243377161,11
val_004,rl_greedy,74.4952922236316,64.30679139241461,1.1584358449645613,9
val_005,rl_greedy,112.61102678835425,108.09022541189509,1.0418243311014657,12
val_006,rl_greedy,95.20300588663441,80.93177377957683,1.176336578831526,11
val_007,rl_greedy,107.06043009380386,98.55507283875329,1.0863005526764336,10
val_008,rl_greedy,83.09494135369323,78.81879514349355,1.0542528746146747,11
val_009,rl_greedy,68.56946704637917,61.93630222785779,1.10709655855977,8
val_000,rl,79.58407300962179,79.58407300962179,1.0,11
val_001,rl,100.66332242677494,100.66332242677494,1.0,12
val_002,rl,61.06005400028422,61.78868175946538,0.9882077471402027,9
val_003,rl,83.18182463311476,91.55093011690428,0.9085852489635796,11
val_004,rl,64.30679139241461,64.30679139241461,1.0,9
val_005,rl,106.65373239194642,108.09022541189509,0.9867102412408274,12
val_006,rl,80.93177377957683,80.93177377957683,1.0,11
val_007,rl,92.12150051187709,98.55507283875329,0.934721043356112,10
val_008,rl,75.55712839624745,78.81879514349355,0.9586181602838756,11
val_009,rl,61.93630222785779,61.93630222785779,1.0,8
